case_name,reward_map,requested_detour_budget,trials,waypoint_count,successful_trials,failure_trials,success_rate,reward_per_distance_mean_successful,reward_per_distance_std_successful,total_reward_mean_successful,total_reward_std_successful,total_distance_mean_all,total_distance_std_all,total_distance_mean_successful,total_distance_std_successful,visited_waypoints_mean_all,visited_waypoints_std_all,completion_rate_mean_all,completion_rate_std_all,runtime_seconds_mean,runtime_seconds_std
baseline,1,0,1,2,1,0,1.000000,0.520239,0.000000,10.404783,0.000000,20.000000,0.000000,20.000000,0.000000,2.000000,0.000000,1.000000,0.000000,0.930123,0.000000
baseline,2,0,1,2,1,0,1.000000,0.869518,0.000000,17.390368,0.000000,20.000000,0.000000,20.000000,0.000000,2.000000,0.000000,1.000000,0.000000,0.563852,0.000000
baseline,3,0,1,2,1,0,1.000000,0.676189,0.000000,13.523783,0.000000,20.000000,0.000000,20.000000,0.000000,2.000000,0.000000,1.000000,0.000000,0.575679,0.000000
baseline,4,0,1,2,1,0,1.000000,0.515500,0.000000,10.310000,0.000000,20.000000,0.000000,20.000000,0.000000,2.000000,0.000000,1.000000,0.000000,0.554196,0.000000
baseline,5,0,1,2,1,0,1.000000,0.881285,0.000000,17.625705,0.000000,20.000000,0.000000,20.000000,0.000000,2.000000,0.000000,1.000000,0.000000,0.540610,0.000000
baseline,6,0,1,2,1,0,1.000000,0.500825,0.000000,10.016500,0.000000,20.000000,0.000000,20.000000,0.000000,2.000000,0.000000,1.000000,0.000000,0.539494,0.000000
baseline,7,0,1,2,1,0,1.000000,0.892552,0.000000,17.851041,0.000000,20.000000,0.000000,20.000000,0.000000,2.000000,0.000000,1.000000,0.000000,0.571830,0.000000
baseline,8,0,1,2,1,0,1.000000,0.578059,0.000000,11.561171,0.000000,20.000000,0.000000,20.000000,0.000000,2.000000,0.000000,1.000000,0.000000,0.557289,0.000000
baseline,9,0,1,2,1,0,1.000000,0.791913,0.000000,15.838258,0.000000,20.000000,0.000000,20.000000,0.000000,2.000000,0.000000,1.000000,0.000000,0.531477,0.000000
baseline,10,0,1,2,1,0,1.000000,0.557338,0.000000,11.146766,0.000000,20.000000,0.000000,20.000000,0.000000,2.000000,0.000000,1.000000,0.000000,0.548396,0.000000
