case_name,reward_map,requested_detour_budget,trials,waypoint_count,successful_trials,failure_trials,success_rate,reward_per_distance_mean_successful,reward_per_distance_std_successful,total_reward_mean_successful,total_reward_std_successful,total_distance_mean_all,total_distance_std_all,total_distance_mean_successful,total_distance_std_successful,visited_waypoints_mean_all,visited_waypoints_std_all,completion_rate_mean_all,completion_rate_std_all,runtime_seconds_mean,runtime_seconds_std
circle,1,0,1,5,1,0,1.000000,0.563111,0.000000,23.650667,0.000000,42.000000,0.000000,42.000000,0.000000,5.000000,0.000000,1.000000,0.000000,8.398067,0.000000
circle,2,0,1,5,1,0,1.000000,0.675724,0.000000,28.380422,0.000000,42.000000,0.000000,42.000000,0.000000,5.000000,0.000000,1.000000,0.000000,9.871367,0.000000
circle,3,0,1,5,1,0,1.000000,0.682091,0.000000,28.647805,0.000000,42.000000,0.000000,42.000000,0.000000,5.000000,0.000000,1.000000,0.000000,9.172440,0.000000
circle,4,0,1,5,1,0,1.000000,0.489091,0.000000,20.541813,0.000000,42.000000,0.000000,42.000000,0.000000,5.000000,0.000000,1.000000,0.000000,8.967115,0.000000
circle,5,0,1,5,1,0,1.000000,0.657228,0.000000,27.603579,0.000000,42.000000,0.000000,42.000000,0.000000,5.000000,0.000000,1.000000,0.000000,9.804030,0.000000
circle,6,0,1,5,1,0,1.000000,0.499897,0.000000,20.995657,0.000000,42.000000,0.000000,42.000000,0.000000,5.000000,0.000000,1.000000,0.000000,8.683446,0.000000
circle,7,0,1,5,1,0,1.000000,0.804578,0.000000,33.792289,0.000000,42.000000,0.000000,42.000000,0.000000,5.000000,0.000000,1.000000,0.000000,8.995123,0.000000
circle,8,0,1,5,1,0,1.000000,0.574625,0.000000,24.134240,0.000000,42.000000,0.000000,42.000000,0.000000,5.000000,0.000000,1.000000,0.000000,9.659909,0.000000
circle,9,0,1,5,1,0,1.000000,0.489314,0.000000,20.551204,0.000000,42.000000,0.000000,42.000000,0.000000,5.000000,0.000000,1.000000,0.000000,8.926315,0.000000
circle,10,0,1,5,1,0,1.000000,0.476710,0.000000,20.021833,0.000000,42.000000,0.000000,42.000000,0.000000,5.000000,0.000000,1.000000,0.000000,8.902055,0.000000
