case_name,reward_map,requested_detour_budget,trials,waypoint_count,successful_trials,failure_trials,success_rate,reward_per_distance_mean_successful,reward_per_distance_std_successful,total_reward_mean_successful,total_reward_std_successful,total_distance_mean_all,total_distance_std_all,total_distance_mean_successful,total_distance_std_successful,visited_waypoints_mean_all,visited_waypoints_std_all,completion_rate_mean_all,completion_rate_std_all,runtime_seconds_mean,runtime_seconds_std
detour_wall,1,0,1,4,1,0,1.000000,0.634813,0.000000,34.279916,0.000000,54.000000,0.000000,54.000000,0.000000,4.000000,0.000000,1.000000,0.000000,3.386202,0.000000
detour_wall,2,0,1,4,1,0,1.000000,0.855668,0.000000,46.206093,0.000000,54.000000,0.000000,54.000000,0.000000,4.000000,0.000000,1.000000,0.000000,3.034644,0.000000
detour_wall,3,0,1,4,1,0,1.000000,0.684698,0.000000,36.973705,0.000000,54.000000,0.000000,54.000000,0.000000,4.000000,0.000000,1.000000,0.000000,2.864038,0.000000
detour_wall,4,0,1,4,1,0,1.000000,0.559344,0.000000,30.204558,0.000000,54.000000,0.000000,54.000000,0.000000,4.000000,0.000000,1.000000,0.000000,2.960076,0.000000
detour_wall,5,0,1,4,1,0,1.000000,0.755065,0.000000,40.773529,0.000000,54.000000,0.000000,54.000000,0.000000,4.000000,0.000000,1.000000,0.000000,2.927812,0.000000
detour_wall,6,0,1,4,1,0,1.000000,0.491460,0.000000,26.538848,0.000000,54.000000,0.000000,54.000000,0.000000,4.000000,0.000000,1.000000,0.000000,2.934399,0.000000
detour_wall,7,0,1,4,1,0,1.000000,0.838248,0.000000,45.265410,0.000000,54.000000,0.000000,54.000000,0.000000,4.000000,0.000000,1.000000,0.000000,2.948358,0.000000
detour_wall,8,0,1,4,1,0,1.000000,0.654823,0.000000,35.360437,0.000000,54.000000,0.000000,54.000000,0.000000,4.000000,0.000000,1.000000,0.000000,2.899353,0.000000
detour_wall,9,0,1,4,1,0,1.000000,0.668559,0.000000,36.102198,0.000000,54.000000,0.000000,54.000000,0.000000,4.000000,0.000000,1.000000,0.000000,2.899436,0.000000
detour_wall,10,0,1,4,1,0,1.000000,0.610388,0.000000,32.960962,0.000000,54.000000,0.000000,54.000000,0.000000,4.000000,0.000000,1.000000,0.000000,2.940348,0.000000
